Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,20
design__inferred_latch__count,0
design__instance__count,45432
design__instance__area,4.41485E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,0
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,62
design__max_cap_violation__count__corner:nom_tt_025C_5v00,57
power__internal__total,0.0033617320004850626
power__switching__total,0.0012683465611189604
power__leakage__total,0.0000037410343338706298
power__total,0.004633819684386253
clock__skew__worst_hold__corner:nom_tt_025C_5v00,-0.3363388274201558
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.31959777395836375
timing__hold__ws__corner:nom_tt_025C_5v00,0.7078340336435334
timing__setup__ws__corner:nom_tt_025C_5v00,5.519126645253425
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.707834
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,8.455492
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,2
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,62
design__max_cap_violation__count__corner:nom_ss_125C_4v50,57
clock__skew__worst_hold__corner:nom_ss_125C_4v50,-0.39695245436455884
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0.3702415978596676
timing__hold__ws__corner:nom_ss_125C_4v50,1.520174251729089
timing__setup__ws__corner:nom_ss_125C_4v50,-0.7684519904578548
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,-39.123358105000236
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,-0.7684519904578548
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,1.520174
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,96
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,-0.768452
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,96
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,62
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,57
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,-0.30806350009586775
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0.29712308454603925
timing__hold__ws__corner:nom_ff_n40C_5v50,0.3446983906983736
timing__setup__ws__corner:nom_ff_n40C_5v50,5.608603518141433
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.344698
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,12.581695
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,34
design__max_fanout_violation__count,62
design__max_cap_violation__count,60
clock__skew__worst_hold,-0.29953482209064103
clock__skew__worst_setup,0.2900656186235033
timing__hold__ws,0.3392495269617114
timing__setup__ws,-1.5337100912281387
timing__hold__tns,0.0
timing__setup__tns,-133.3751138394966
timing__hold__wns,0
timing__setup__wns,-1.5337100912281387
timing__hold_vio__count,0
timing__hold_r2r__ws,0.339250
timing__hold_r2r_vio__count,0
timing__setup_vio__count,302
timing__setup_r2r__ws,-1.533710
timing__setup_r2r_vio__count,302
design__die__bbox,0.0 0.0 1936.0 2531.0
design__core__bbox,442.4 442.96 1493.52 2085.44
design__io,50
design__die__area,4.90002E+6
design__core__area,1.72644E+6
design__instance__count__stdcell,15965
design__instance__area__stdcell,698593
design__instance__count__macros,5
design__instance__area__macros,124202
design__instance__count__padcells,420
design__instance__area__padcells,2.0601E+6
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.476583
design__instance__utilization__stdcell,0.436009
design__rows,419
design__rows:GF018hv5v_mcu_sc7,419
design__sites,786463
design__sites:GF018hv5v_mcu_sc7,786463
design__instance__count__class:macro,5
design__instance__area__class:macro,124202
design__instance__count__class:input_pad,14
design__instance__area__class:input_pad,367500
design__instance__count__class:input_output_pad,34
design__instance__area__class:input_output_pad,892500
design__instance__count__class:power_pad,8
design__instance__area__class:power_pad,210000
design__instance__count__class:tie_cell,250
design__instance__area__class:tie_cell,2195.2
design__instance__count__class:inverter,204
design__instance__area__class:inverter,1795.67
design__instance__count__class:sequential_cell,901
design__instance__area__class:sequential_cell,57435.2
design__instance__count__class:multi_input_combinational_cell,1465
design__instance__area__class:multi_input_combinational_cell,31259.6
flow__warnings__count,0
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,21
flow__warnings__type_count,0
flow__warnings__count:ORD-0039,1
design__instance__count__class:pad_spacer,364
design__instance__area__class:pad_spacer,590100
design__instance__count__class:endcap_cell,842
design__instance__area__class:endcap_cell,507779
flow__warnings__count:PAD-0033,2
design__instance__count__class:tap_cell,11160
design__instance__area__class:tap_cell,48996.9
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,7038.05
design__instance__displacement__mean,0.4405
design__instance__displacement__max,40.1035
route__wirelength__estimated,217347
design__violations,0
design__instance__count__class:timing_repair_buffer,1005
design__instance__area__class:timing_repair_buffer,43243.2
flow__warnings__count:STA-1140,52
design__instance__count__class:clock_buffer,114
design__instance__area__class:clock_buffer,5452.88
design__instance__count__class:clock_inverter,24
design__instance__area__class:clock_inverter,434.65
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,57
flow__warnings__count:RSZ-0062,1
global_route__vias,26340
global_route__wirelength,302702
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,3953
route__net__special,50
route__drc_errors__iter:0,826
route__wirelength__iter:0,219034
route__drc_errors__iter:1,249
route__wirelength__iter:1,217986
route__drc_errors__iter:2,206
route__wirelength__iter:2,217953
route__drc_errors__iter:3,2
route__wirelength__iter:3,218048
route__drc_errors__iter:4,0
route__wirelength__iter:4,218051
route__drc_errors,0
route__wirelength,218051
route__vias,22649
